Product_ID,Product_ID,Product_Title,Brand,Description,Category,Price,Price,Original_Price,Discount,Rating,Rating,Rating_Count,Rating_Count,Image_URL,Ram_Storage,Processor,Camera_Specs,Battery,Store,feature_list,combined_text,reviews
11,11,"Dell XPS 13 Laptop (Intel Core Ultra 7 155H, 13.4-inch 3K+ Touch OLED, 16GB RAM, 512GB SSD)",Dell,"Dell XPS 13 premium ultraportable laptop crafted with CNC machined aluminum, capacitive touch function row, seamless glass touchpad, InfinityEdge 3K+ OLED touchscreen, and Dolby Atmos audio.",Laptops & PCs,144990,144990,159990,9% OFF,4.6,4.6,610,610,https://images.unsplash.com/photo-1593642632823-8f785ba67e45?w=800&auto=format&fit=crop&q=80,16GB RAM | 512GB NVMe SSD,Intel Core Ultra 7 155H,FHD 1080p Web Camera,55Whr Battery with Fast Charge,Dell Official Store,"['InfinityEdge 3K+ OLED Touch', 'CNC Aluminum', 'Glass Touchpad', 'Dolby Atmos']","Dell XPS 13 Laptop (Intel Core Ultra 7 155H, 13.4-inch 3K+ Touch OLED, 16GB RAM, 512GB SSD) Dell XPS 13 premium ultraportable laptop crafted with CNC machined aluminum, capacitive touch function row, seamless glass touchpad, InfinityEdge 3K+ OLED touchscreen, and Dolby Atmos audio. Laptops & PCs Laptops & PCs|Dell|XPS|Ultrabook|OLED","[{""user"": ""Meera Sen"", ""rating"": 4, ""comment"": ""Minimalist futuristic design. Touchpad takes 1 day to get used to."", ""date"": ""2026-06-25""}]"
27,12,"Apple MacBook Pro 14-inch M3 Pro (18GB Unified Memory, 512GB SSD, Space Black)",Apple,"Apple MacBook Pro 14-inch with M3 Pro chip (11-core CPU, 14-core GPU), 18GB unified memory, 512GB SSD, Liquid Retina XDR display, 1080p FaceTime HD camera, six-speaker sound system, and HDMI 2.1 port.",Laptops & PCs,199900,199900,214900,7% OFF,4.9,4.9,1250,1250,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=800&auto=format&fit=crop&q=80,18GB Unified Memory | 512GB SSD,Apple M3 Pro Chip (11-Core CPU / 14-Core GPU),1080p FaceTime HD Camera,Up to 18 Hours Battery Life,Apple Official Store,"['M3 Pro Chip', 'Liquid Retina XDR', 'Space Black Finish', 'HDMI & SDXC Slot']","Apple MacBook Pro 14-inch M3 Pro (18GB Unified Memory, 512GB SSD, Space Black) Apple MacBook Pro 14-inch with M3 Pro chip (11-core CPU, 14-core GPU), 18GB unified memory, 512GB SSD, Liquid Retina XDR display, 1080p FaceTime HD camera, six-speaker sound system, and HDMI 2.1 port. Laptops & PCs Laptops & PCs|Apple|MacBook|MacBookPro|M3Pro|Laptop","[{""user"": ""Karthik R."", ""rating"": 5, ""comment"": ""The M3 Pro chip renders 4K multi-cam timelines in Final Cut Pro effortlessly!"", ""date"": ""2026-07-28""}]"
28,13,"Lenovo LOQ 15 Gaming Laptop (Intel Core i5-12450HX, RTX 3050 6GB, 16GB DDR5, 512GB SSD, 144Hz FHD)",Lenovo,"Lenovo LOQ 15IAX9 gaming laptop powered by 12th Gen Intel Core i5-12450HX processor, NVIDIA GeForce RTX 3050 6GB GDDR6 graphics, 16GB DDR5 RAM, 512GB PCIe 4.0 SSD, 15.6-inch FHD 144Hz 100% sRGB display, and G-SYNC.",Laptops & PCs,59990,59990,78990,24% OFF,4.7,4.7,2340,2340,https://images.unsplash.com/photo-1603302576837-37561b2e2302?w=800&auto=format&fit=crop&q=80,16GB DDR5 RAM | 512GB M.2 PCIe SSD,12th Gen Intel Core i5-12450HX,720p HD Camera with E-shutter,60Whr Battery with 170W Fast Charger,Lenovo Store,"['RTX 3050 6GB', '144Hz 100% sRGB', 'LA1 AI Chip', 'DDR5 RAM']","Lenovo LOQ 15 Gaming Laptop (Intel Core i5-12450HX, RTX 3050 6GB, 16GB DDR5, 512GB SSD, 144Hz FHD) Lenovo LOQ 15IAX9 gaming laptop powered by 12th Gen Intel Core i5-12450HX processor, NVIDIA GeForce RTX 3050 6GB GDDR6 graphics, 16GB DDR5 RAM, 512GB PCIe 4.0 SSD, 15.6-inch FHD 144Hz 100% sRGB display, and G-SYNC. Laptops & PCs Laptops & PCs|Lenovo|LOQ|Gaming|Laptop|RTX3050","[{""user"": ""Saurabh Sharma"", ""rating"": 5, ""comment"": ""Best gaming laptop under 60k! 6GB VRAM on RTX 3050 runs GTA V and Valorant smoothly."", ""date"": ""2026-07-15""}]"
29,14,"ASUS TUF Gaming F15 Laptop (Intel Core i5-11400H, RTX 3050 4GB, 16GB RAM, 512GB SSD, 144Hz FHD)",ASUS,"ASUS TUF Gaming F15 laptop featuring 11th Gen Intel Core i5-11400H, NVIDIA GeForce RTX 3050 4GB GPU, 16GB DDR4 RAM, 512GB PCIe SSD, 15.6-inch FHD 144Hz IPS-level display, RGB backlit keyboard, and Military-grade MIL-STD-810H durability.",Laptops & PCs,52990,52990,74990,29% OFF,4.6,4.6,4820,4820,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?w=800&auto=format&fit=crop&q=80,16GB DDR4 RAM | 512GB M.2 NVMe SSD,11th Gen Intel Core i5-11400H,720p HD Camera,48Whr Battery,ASUS Store India,"['144Hz FHD Display', 'RTX 3050 4GB', 'Military Grade Durability', 'RGB Keyboard']","ASUS TUF Gaming F15 Laptop (Intel Core i5-11400H, RTX 3050 4GB, 16GB RAM, 512GB SSD, 144Hz FHD) ASUS TUF Gaming F15 laptop featuring 11th Gen Intel Core i5-11400H, NVIDIA GeForce RTX 3050 4GB GPU, 16GB DDR4 RAM, 512GB PCIe SSD, 15.6-inch FHD 144Hz IPS-level display, RGB backlit keyboard, and Military-grade MIL-STD-810H durability. Laptops & PCs Laptops & PCs|ASUS|TUF|Gaming|Laptop","[{""user"": ""Praveen V."", ""rating"": 5, ""comment"": ""Durable build quality and handles college coding and heavy gaming easily."", ""date"": ""2026-06-30""}]"
30,15,"Acer Nitro V 15 Gaming Laptop (Intel Core i5-13420H, RTX 4050 6GB, 16GB DDR5, 512GB SSD, 144Hz FHD)",Acer,"Acer Nitro V 15 gaming laptop powered by 13th Gen Intel Core i5-13420H processor, NVIDIA GeForce RTX 4050 6GB GDDR6 graphics with DLSS 3, 16GB DDR5 RAM, 512GB Gen4 SSD, 15.6-inch 144Hz IPS display, and Dual-fan cooling.",Laptops & PCs,62990,62990,79999,21% OFF,4.7,4.7,1890,1890,https://images.unsplash.com/photo-1603302576837-37561b2e2302?w=800&auto=format&fit=crop&q=80,16GB DDR5 RAM | 512GB PCIe Gen4 SSD,13th Gen Intel Core i5-13420H,720p HD Camera with Temporal Noise Reduction,57Whr Battery,Acer Official Store,"['RTX 4050 6GB DLSS3', '13th Gen i5', '144Hz IPS Screen', 'Dual Fan Thermal Control']","Acer Nitro V 15 Gaming Laptop (Intel Core i5-13420H, RTX 4050 6GB, 16GB DDR5, 512GB SSD, 144Hz FHD) Acer Nitro V 15 gaming laptop powered by 13th Gen Intel Core i5-13420H processor, NVIDIA GeForce RTX 4050 6GB GDDR6 graphics with DLSS 3, 16GB DDR5 RAM, 512GB Gen4 SSD, 15.6-inch 144Hz IPS display, and Dual-fan cooling. Laptops & PCs Laptops & PCs|Acer|Nitro|Gaming|Laptop|RTX4050","[{""user"": ""Rohan M."", ""rating"": 5, ""comment"": ""DLSS 3 frame generation gives massive boost in FPS for Cyberpunk and Forza Horizon 5!"", ""date"": ""2026-07-22""}]"
31,16,"HP Victus 15 Gaming Laptop (AMD Ryzen 5 5600H, RTX 3050 4GB, 16GB RAM, 512GB SSD, 144Hz FHD)",HP,"HP Victus 15 gaming laptop featuring AMD Ryzen 5 5600H 6-core processor, NVIDIA GeForce RTX 3050 4GB GPU, 16GB DDR4 RAM, 512GB PCIe NVMe SSD, 15.6-inch FHD 144Hz anti-glare display, and B&O tuned audio.",Laptops & PCs,49990,49990,68990,27% OFF,4.5,4.5,3100,3100,https://images.unsplash.com/photo-1593642632823-8f785ba67e45?w=800&auto=format&fit=crop&q=80,16GB DDR4 RAM | 512GB M.2 PCIe SSD,AMD Ryzen 5 5600H (6 Cores / 12 Threads),HP Wide Vision 720p HD Camera,52.5Whr Battery with HP Fast Charge,HP Store India,"['Ryzen 5 5600H', 'RTX 3050 4GB', '144Hz Display', 'Audio by Bang & Olufsen']","HP Victus 15 Gaming Laptop (AMD Ryzen 5 5600H, RTX 3050 4GB, 16GB RAM, 512GB SSD, 144Hz FHD) HP Victus 15 gaming laptop featuring AMD Ryzen 5 5600H 6-core processor, NVIDIA GeForce RTX 3050 4GB GPU, 16GB DDR4 RAM, 512GB PCIe NVMe SSD, 15.6-inch FHD 144Hz anti-glare display, and B&O tuned audio. Laptops & PCs Laptops & PCs|HP|Victus|Gaming|Laptop","[{""user"": ""Aditya K."", ""rating"": 5, ""comment"": ""Sleek subtle design that doesn't scream gamer. Great for office and gaming."", ""date"": ""2026-07-10""}]"
32,17,"Dell G15 5530 Gaming Laptop (Intel Core i5-13450HX, RTX 3050 6GB, 16GB DDR5, 1TB SSD, 120Hz FHD)",Dell,"Dell G15 5530 gaming laptop engineered with Alienware-inspired thermal design, 13th Gen Intel Core i5-13450HX processor, NVIDIA GeForce RTX 3050 6GB, 16GB DDR5 RAM, 1TB PCIe NVMe SSD, and 15.6-inch FHD 120Hz display.",Laptops & PCs,71990,71990,89990,20% OFF,4.6,4.6,1120,1120,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?w=800&auto=format&fit=crop&q=80,16GB DDR5 RAM | 1TB PCIe NVMe SSD,13th Gen Intel Core i5-13450HX,720p HD Camera with Dual Microphones,56Whr Battery,Dell Official Store,"['Alienware Cooling Tech', 'RTX 3050 6GB', '1TB SSD', 'Game Shift Key']","Dell G15 5530 Gaming Laptop (Intel Core i5-13450HX, RTX 3050 6GB, 16GB DDR5, 1TB SSD, 120Hz FHD) Dell G15 5530 gaming laptop engineered with Alienware-inspired thermal design, 13th Gen Intel Core i5-13450HX processor, NVIDIA GeForce RTX 3050 6GB, 16GB DDR5 RAM, 1TB PCIe NVMe SSD, and 15.6-inch FHD 120Hz display. Laptops & PCs Laptops & PCs|Dell|G15|Gaming|Laptop","[{""user"": ""Deepak N."", ""rating"": 5, ""comment"": ""Alienware cooling tech keeps thermals under control. 1TB SSD space is a big plus."", ""date"": ""2026-07-08""}]"
12,18,"Sony Alpha 7 IV Full-Frame Mirrorless Camera Body (33MP, 4K 60p, Real-Time Eye AF, 5-Axis OIS)",Sony,"Sony Alpha 7 IV full-frame mirrorless camera featuring 33MP Exmor R CMOS sensor, BIONZ XR processing engine, 4K 60p 10-bit 4:2:2 video, 759-point AF with Real-time Eye AF for Humans/Animals/Birds.",Cameras,214990,214990,229990,7% OFF,4.9,4.9,1150,1150,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?w=800&auto=format&fit=crop&q=80,Dual SD/CFexpress Type A Slots,BIONZ XR Image Processor,33MP Full-Frame Exmor R Sensor | 4K 60p 10-bit 4:2:2,NP-FZ100 Rechargeable Battery (580 shots),Sony Center India,"['33MP Full-Frame', '4K 60p Video', 'Real-Time Eye AF', '5-Axis In-Body Stabilization']","Sony Alpha 7 IV Full-Frame Mirrorless Camera Body (33MP, 4K 60p, Real-Time Eye AF, 5-Axis OIS) Sony Alpha 7 IV full-frame mirrorless camera featuring 33MP Exmor R CMOS sensor, BIONZ XR processing engine, 4K 60p 10-bit 4:2:2 video, 759-point AF with Real-time Eye AF for Humans/Animals/Birds. Cameras Cameras|Sony|Alpha|Mirrorless|Full-Frame","[{""user"": ""Manish Kulkarni"", ""rating"": 5, ""comment"": ""Gold standard hybrid camera for weddings and commercial video shoots."", ""date"": ""2026-07-01""}]"
13,19,"Sony ZV-E10 Mirrorless Vlog Camera (24.2MP, 4K Video, Vari-Angle Touchscreen, Directional 3-Capsule Mic)",Sony,"Sony ZV-E10 APS-C interchangeable lens mirrorless vlogging camera featuring 24.2MP Exmor CMOS sensor, 4K HDR video recording, Product Showcase setting, Background Defocus button, and 3-Capsule Mic with windscreen.",Cameras,47990,47990,52990,9% OFF,4.7,4.7,3420,3420,https://images.unsplash.com/photo-1502920917128-1aa500764cbd?w=800&auto=format&fit=crop&q=80,Single SD UHS-I Card Slot,BIONZ X Image Processor,24.2MP APS-C Exmor CMOS | 4K 30p 100Mbps Video,NP-FW50 Battery (440 shots / 80 min video),Sony Center India,"['24.2MP Sensor', 'Vari-Angle Screen', 'Product Showcase', 'Background Defocus']","Sony ZV-E10 Mirrorless Vlog Camera (24.2MP, 4K Video, Vari-Angle Touchscreen, Directional 3-Capsule Mic) Sony ZV-E10 APS-C interchangeable lens mirrorless vlogging camera featuring 24.2MP Exmor CMOS sensor, 4K HDR video recording, Product Showcase setting, Background Defocus button, and 3-Capsule Mic with windscreen. Cameras Cameras|Sony|Alpha|Vlog|Mirrorless|Budget","[{""user"": ""Siddharth Verma"", ""rating"": 5, ""comment"": ""Best vlogging camera under 50k! Product showcase mode switches focus instantly."", ""date"": ""2026-07-19""}]"
14,20,"Canon EOS R50 Mirrorless Camera Body (24.2MP, 4K 30p Uncropped, Dual Pixel CMOS AF II, OLED EVF)",Canon,"Canon EOS R50 compact lightweight mirrorless camera featuring 24.2MP APS-C CMOS sensor, DIGIC X processor, Dual Pixel CMOS AF II with subject detection, 4K 30p uncropped video, and 15 fps electronic burst.",Cameras,49990,49990,54990,9% OFF,4.8,4.8,1850,1850,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?w=800&auto=format&fit=crop&q=80,Single SD UHS-I Card Slot,DIGIC X Image Processor,24.2MP APS-C CMOS | 4K 30p Uncropped | 6K Oversampled,LP-E17 Rechargeable Li-ion,Canon India,"['24.2MP Sensor', 'Dual Pixel AF II', 'Compact 375g Body', '4K 30p']","Canon EOS R50 Mirrorless Camera Body (24.2MP, 4K 30p Uncropped, Dual Pixel CMOS AF II, OLED EVF) Canon EOS R50 compact lightweight mirrorless camera featuring 24.2MP APS-C CMOS sensor, DIGIC X processor, Dual Pixel CMOS AF II with subject detection, 4K 30p uncropped video, and 15 fps electronic burst. Cameras Cameras|Canon|EOS|Mirrorless|Compact|Budget","[{""user"": ""Akash Deshmukh"", ""rating"": 5, ""comment"": ""Super sharp 4K video and animal eye tracking works brilliantly."", ""date"": ""2026-07-10""}]"
