parent_asin,title,Brand,main_category,categories,description,price,Original_Price,Discount,average_rating,rating_number,store,Image_URL,Ram_Storage,Processor,Camera_Specs,Battery,features,reviews
11,"Dell XPS 13 Laptop (Intel Core Ultra 7 155H, 13.4-inch 3K+ Touch OLED, 16GB RAM, 512GB SSD)",Dell,Laptops & PCs,Laptops & PCs|Dell|XPS|Ultrabook|OLED,"Dell XPS 13 premium ultraportable laptop crafted with CNC machined aluminum, capacitive touch function row, seamless glass touchpad, InfinityEdge 3K+ OLED touchscreen, and Dolby Atmos audio.",144990,159990,9% OFF,4.6,610,Dell Official Store,https://images.unsplash.com/photo-1593642632823-8f785ba67e45?w=800&auto=format&fit=crop&q=80,16GB RAM | 512GB NVMe SSD,Intel Core Ultra 7 155H,FHD 1080p Web Camera,55Whr Battery with Fast Charge,InfinityEdge 3K+ OLED Touch|CNC Aluminum|Glass Touchpad|Dolby Atmos,"[{""user"": ""Meera Sen"", ""rating"": 4, ""comment"": ""Minimalist futuristic design. Touchpad takes 1 day to get used to."", ""date"": ""2026-06-25""}]"
27,"Apple MacBook Pro 14-inch M3 Pro (18GB Unified Memory, 512GB SSD, Space Black)",Apple,Laptops & PCs,Laptops & PCs|Apple|MacBook|MacBookPro|M3Pro|Laptop,"Apple MacBook Pro 14-inch with M3 Pro chip (11-core CPU, 14-core GPU), 18GB unified memory, 512GB SSD, Liquid Retina XDR display, 1080p FaceTime HD camera, six-speaker sound system, and HDMI 2.1 port.",199900,214900,7% OFF,4.9,1250,Apple Official Store,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=800&auto=format&fit=crop&q=80,18GB Unified Memory | 512GB SSD,Apple M3 Pro Chip (11-Core CPU / 14-Core GPU),1080p FaceTime HD Camera,Up to 18 Hours Battery Life,M3 Pro Chip|Liquid Retina XDR|Space Black Finish|HDMI & SDXC Slot,"[{""user"": ""Karthik R."", ""rating"": 5, ""comment"": ""The M3 Pro chip renders 4K multi-cam timelines in Final Cut Pro effortlessly!"", ""date"": ""2026-07-28""}]"
28,"Lenovo LOQ 15 Gaming Laptop (Intel Core i5-12450HX, RTX 3050 6GB, 16GB DDR5, 512GB SSD, 144Hz FHD)",Lenovo,Laptops & PCs,Laptops & PCs|Lenovo|LOQ|Gaming|Laptop|RTX3050,"Lenovo LOQ 15IAX9 gaming laptop powered by 12th Gen Intel Core i5-12450HX processor, NVIDIA GeForce RTX 3050 6GB GDDR6 graphics, 16GB DDR5 RAM, 512GB PCIe 4.0 SSD, 15.6-inch FHD 144Hz 100% sRGB display, and G-SYNC.",59990,78990,24% OFF,4.7,2340,Lenovo Store,https://images.unsplash.com/photo-1603302576837-37561b2e2302?w=800&auto=format&fit=crop&q=80,16GB DDR5 RAM | 512GB M.2 PCIe SSD,12th Gen Intel Core i5-12450HX,720p HD Camera with E-shutter,60Whr Battery with 170W Fast Charger,RTX 3050 6GB|144Hz 100% sRGB|LA1 AI Chip|DDR5 RAM,"[{""user"": ""Saurabh Sharma"", ""rating"": 5, ""comment"": ""Best gaming laptop under 60k! 6GB VRAM on RTX 3050 runs GTA V and Valorant smoothly."", ""date"": ""2026-07-15""}]"
29,"ASUS TUF Gaming F15 Laptop (Intel Core i5-11400H, RTX 3050 4GB, 16GB RAM, 512GB SSD, 144Hz FHD)",ASUS,Laptops & PCs,Laptops & PCs|ASUS|TUF|Gaming|Laptop,"ASUS TUF Gaming F15 laptop featuring 11th Gen Intel Core i5-11400H, NVIDIA GeForce RTX 3050 4GB GPU, 16GB DDR4 RAM, 512GB PCIe SSD, 15.6-inch FHD 144Hz IPS-level display, RGB backlit keyboard, and Military-grade MIL-STD-810H durability.",52990,74990,29% OFF,4.6,4820,ASUS Store India,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?w=800&auto=format&fit=crop&q=80,16GB DDR4 RAM | 512GB M.2 NVMe SSD,11th Gen Intel Core i5-11400H,720p HD Camera,48Whr Battery,144Hz FHD Display|RTX 3050 4GB|Military Grade Durability|RGB Keyboard,"[{""user"": ""Praveen V."", ""rating"": 5, ""comment"": ""Durable build quality and handles college coding and heavy gaming easily."", ""date"": ""2026-06-30""}]"
30,"Acer Nitro V 15 Gaming Laptop (Intel Core i5-13420H, RTX 4050 6GB, 16GB DDR5, 512GB SSD, 144Hz FHD)",Acer,Laptops & PCs,Laptops & PCs|Acer|Nitro|Gaming|Laptop|RTX4050,"Acer Nitro V 15 gaming laptop powered by 13th Gen Intel Core i5-13420H processor, NVIDIA GeForce RTX 4050 6GB GDDR6 graphics with DLSS 3, 16GB DDR5 RAM, 512GB Gen4 SSD, 15.6-inch 144Hz IPS display, and Dual-fan cooling.",62990,79999,21% OFF,4.7,1890,Acer Official Store,https://images.unsplash.com/photo-1603302576837-37561b2e2302?w=800&auto=format&fit=crop&q=80,16GB DDR5 RAM | 512GB PCIe Gen4 SSD,13th Gen Intel Core i5-13420H,720p HD Camera with Temporal Noise Reduction,57Whr Battery,RTX 4050 6GB DLSS3|13th Gen i5|144Hz IPS Screen|Dual Fan Thermal Control,"[{""user"": ""Rohan M."", ""rating"": 5, ""comment"": ""DLSS 3 frame generation gives massive boost in FPS for Cyberpunk and Forza Horizon 5!"", ""date"": ""2026-07-22""}]"
31,"HP Victus 15 Gaming Laptop (AMD Ryzen 5 5600H, RTX 3050 4GB, 16GB RAM, 512GB SSD, 144Hz FHD)",HP,Laptops & PCs,Laptops & PCs|HP|Victus|Gaming|Laptop,"HP Victus 15 gaming laptop featuring AMD Ryzen 5 5600H 6-core processor, NVIDIA GeForce RTX 3050 4GB GPU, 16GB DDR4 RAM, 512GB PCIe NVMe SSD, 15.6-inch FHD 144Hz anti-glare display, and B&O tuned audio.",49990,68990,27% OFF,4.5,3100,HP Store India,https://images.unsplash.com/photo-1593642632823-8f785ba67e45?w=800&auto=format&fit=crop&q=80,16GB DDR4 RAM | 512GB M.2 PCIe SSD,AMD Ryzen 5 5600H (6 Cores / 12 Threads),HP Wide Vision 720p HD Camera,52.5Whr Battery with HP Fast Charge,Ryzen 5 5600H|RTX 3050 4GB|144Hz Display|Audio by Bang & Olufsen,"[{""user"": ""Aditya K."", ""rating"": 5, ""comment"": ""Sleek subtle design that doesn't scream gamer. Great for office and gaming."", ""date"": ""2026-07-10""}]"
32,"Dell G15 5530 Gaming Laptop (Intel Core i5-13450HX, RTX 3050 6GB, 16GB DDR5, 1TB SSD, 120Hz FHD)",Dell,Laptops & PCs,Laptops & PCs|Dell|G15|Gaming|Laptop,"Dell G15 5530 gaming laptop engineered with Alienware-inspired thermal design, 13th Gen Intel Core i5-13450HX processor, NVIDIA GeForce RTX 3050 6GB, 16GB DDR5 RAM, 1TB PCIe NVMe SSD, and 15.6-inch FHD 120Hz display.",71990,89990,20% OFF,4.6,1120,Dell Official Store,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?w=800&auto=format&fit=crop&q=80,16GB DDR5 RAM | 1TB PCIe NVMe SSD,13th Gen Intel Core i5-13450HX,720p HD Camera with Dual Microphones,56Whr Battery,Alienware Cooling Tech|RTX 3050 6GB|1TB SSD|Game Shift Key,"[{""user"": ""Deepak N."", ""rating"": 5, ""comment"": ""Alienware cooling tech keeps thermals under control. 1TB SSD space is a big plus."", ""date"": ""2026-07-08""}]"
12,"Sony Alpha 7 IV Full-Frame Mirrorless Camera Body (33MP, 4K 60p, Real-Time Eye AF, 5-Axis OIS)",Sony,Cameras,Cameras|Sony|Alpha|Mirrorless|Full-Frame,"Sony Alpha 7 IV full-frame mirrorless camera featuring 33MP Exmor R CMOS sensor, BIONZ XR processing engine, 4K 60p 10-bit 4:2:2 video, 759-point AF with Real-time Eye AF for Humans/Animals/Birds.",214990,229990,7% OFF,4.9,1150,Sony Center India,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?w=800&auto=format&fit=crop&q=80,Dual SD/CFexpress Type A Slots,BIONZ XR Image Processor,33MP Full-Frame Exmor R Sensor | 4K 60p 10-bit 4:2:2,NP-FZ100 Rechargeable Battery (580 shots),33MP Full-Frame|4K 60p Video|Real-Time Eye AF|5-Axis In-Body Stabilization,"[{""user"": ""Manish Kulkarni"", ""rating"": 5, ""comment"": ""Gold standard hybrid camera for weddings and commercial video shoots."", ""date"": ""2026-07-01""}]"
13,"Sony ZV-E10 Mirrorless Vlog Camera (24.2MP, 4K Video, Vari-Angle Touchscreen, Directional 3-Capsule Mic)",Sony,Cameras,Cameras|Sony|Alpha|Vlog|Mirrorless|Budget,"Sony ZV-E10 APS-C interchangeable lens mirrorless vlogging camera featuring 24.2MP Exmor CMOS sensor, 4K HDR video recording, Product Showcase setting, Background Defocus button, and 3-Capsule Mic with windscreen.",47990,52990,9% OFF,4.7,3420,Sony Center India,https://images.unsplash.com/photo-1502920917128-1aa500764cbd?w=800&auto=format&fit=crop&q=80,Single SD UHS-I Card Slot,BIONZ X Image Processor,24.2MP APS-C Exmor CMOS | 4K 30p 100Mbps Video,NP-FW50 Battery (440 shots / 80 min video),24.2MP Sensor|Vari-Angle Screen|Product Showcase|Background Defocus,"[{""user"": ""Siddharth Verma"", ""rating"": 5, ""comment"": ""Best vlogging camera under 50k! Product showcase mode switches focus instantly."", ""date"": ""2026-07-19""}]"
14,"Canon EOS R50 Mirrorless Camera Body (24.2MP, 4K 30p Uncropped, Dual Pixel CMOS AF II, OLED EVF)",Canon,Cameras,Cameras|Canon|EOS|Mirrorless|Compact|Budget,"Canon EOS R50 compact lightweight mirrorless camera featuring 24.2MP APS-C CMOS sensor, DIGIC X processor, Dual Pixel CMOS AF II with subject detection, 4K 30p uncropped video, and 15 fps electronic burst.",49990,54990,9% OFF,4.8,1850,Canon India,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?w=800&auto=format&fit=crop&q=80,Single SD UHS-I Card Slot,DIGIC X Image Processor,24.2MP APS-C CMOS | 4K 30p Uncropped | 6K Oversampled,LP-E17 Rechargeable Li-ion,24.2MP Sensor|Dual Pixel AF II|Compact 375g Body|4K 30p,"[{""user"": ""Akash Deshmukh"", ""rating"": 5, ""comment"": ""Super sharp 4K video and animal eye tracking works brilliantly."", ""date"": ""2026-07-10""}]"
15,"GoPro HERO12 Black Waterproof Action Camera (5.3K60 Video, 27MP Photos, HDR, HyperSmooth 6.0)",GoPro,Cameras,Cameras|GoPro|Action|Waterproof|5.3K,"GoPro HERO12 Black waterproof action camera featuring 5.3K60 and 4K120 video, 27MP photos, Emmy Award-winning HyperSmooth 6.0 video stabilization, HDR video, Bluetooth audio support, and dual LCD screens.",37990,45000,16% OFF,4.7,6200,GoPro Official Store,https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f?w=800&auto=format&fit=crop&q=80,MicroSD Slot (Up to 512GB),GP2 Image Processor,27MP 1/1.9-inch Sensor | 5.3K 60fps / 4K 120fps,1720 mAh Enduro Battery (70 min 5.3K),5.3K60 Video|HyperSmooth 6.0 Stabilization|Waterproof 33ft|HDR Video,"[{""user"": ""Nikhil Motovlog"", ""rating"": 5, ""comment"": ""HyperSmooth 6.0 stabilization makes bumpy bike rides look like a Hollywood drone shot!"", ""date"": ""2026-07-25""}]"
16,"Fujifilm X-T5 Mirrorless Camera Body (40.2MP APS-C X-Trans CMOS 5 HR Sensor, 6.2K Video, Silver)",Fujifilm,Cameras,Cameras|Fujifilm|APS-C|Retro|FilmSimulation,"Fujifilm X-T5 photography-first mirrorless camera featuring 40.2MP X-Trans 5 HR sensor, X-Processor 5, 19 Film Simulation modes, 7-stop IBIS, 3-way tilting LCD, and classic analog control dials.",169990,184990,8% OFF,4.9,510,Fujifilm Store,https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f?w=800&auto=format&fit=crop&q=80,Dual SD UHS-II Slots,X-Processor 5 Engine,40.2MP X-Trans CMOS 5 HR | 6.2K 30p 10-bit Video,NP-W235 Battery (Up to 700 frames),40.2MP High-Res Sensor|19 Film Simulations|Classic Dial Controls|7-stop IBIS,"[{""user"": ""Arjun Saxena"", ""rating"": 5, ""comment"": ""Film simulations produce SOOC JPEGs that need zero color grading."", ""date"": ""2026-07-21""}]"
15,"Sony WH-1000XM5 Wireless Premium Noise Canceling Headphones (Silver, 30 Hr Battery, Auto NC Optimizer)",Sony,Audio,Audio|Sony|Headphones|ANC|Wireless,"Sony WH-1000XM5 industry-leading noise canceling headphones with two processors and 8 microphones, Auto NC Optimizer, Speak-to-Chat technology, 30-hour battery life, and ultra-comfortable lightweight design.",29990,34990,14% OFF,4.7,6800,Sony Official,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=800&auto=format&fit=crop&q=80,Bluetooth 5.2 / LDAC / AAC,Processor V1 + HD Noise Canceling Processor QN1,4 Beamforming Mics for Calls,30 Hours Battery (3 min Charge = 3 Hours),Industry-leading ANC|30-Hour Battery|Multipoint Bluetooth|LDAC High-Res Audio,"[{""user"": ""Gautam Sethi"", ""rating"": 5, ""comment"": ""Cancels out airplane engine noise completely. Super comfy soft leather cups."", ""date"": ""2026-06-19""}]"
16,Apple AirPods Pro (2nd Generation) with MagSafe Case (USB-C) - Active Noise Cancellation & Adaptive Audio,Apple,Audio,Audio|Apple|AirPods|Earbuds|ANC,"Apple AirPods Pro 2nd Gen featuring H2 chip, up to 2x more Active Noise Cancellation, Adaptive Audio, Transparency mode, Personalized Spatial Audio with dynamic head tracking, and USB-C MagSafe Charging Case.",23900,24900,4% OFF,4.8,9500,Apple Official Store,https://images.unsplash.com/photo-1600294037681-c80b4cb5b434?w=800&auto=format&fit=crop&q=80,Bluetooth 5.3 / Apple H2 Chip,Apple H2 Headphone Chip,Dual Beamforming Mics,6 Hours Earbud (30 Hours Total with USB-C Case),Apple H2 Chip|2x Noise Cancellation|Adaptive Audio|MagSafe USB-C Case,"[{""user"": ""Rhea Menon"", ""rating"": 5, ""comment"": ""Seamless switching between iPhone and MacBook."", ""date"": ""2026-07-11""}]"
17,"Samsung Odyssey OLED G8 34-inch UWQHD Curved Gaming Monitor (175Hz, 0.03ms, Neo Quantum Processor, Smart TV)",Samsung,Gaming & Peripherals,Gaming & Peripherals|Samsung|Monitor|OLED|175Hz|Curved,"Samsung Odyssey OLED G8 34-inch Ultra-WQHD (3440 x 1440) 1800R curved gaming monitor featuring Quantum Dot OLED technology, 175Hz refresh rate, 0.03ms response time, VESA DisplayHDR True Black 400, Gaming Hub, and Slim Metal Design.",99990,119990,17% OFF,4.9,680,Samsung Direct,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?w=800&auto=format&fit=crop&q=80,34-inch 21:9 UWQHD QD-OLED Panel,Neo Quantum Processor O,N/A (Gaming Monitor),AC Powered (65W USB-C PD Output),34-inch QD-OLED 175Hz|0.03ms Response|1800R Curve|Neo Quantum Engine,"[{""user"": ""Varun Taneja"", ""rating"": 5, ""comment"": ""Infinite contrast ratio and true blacks make games look unreal! Best monitor I've ever owned."", ""date"": ""2026-07-28""}]"
18,"LG UltraGear 27-inch 240Hz QHD Gaming Monitor (Nano IPS 1ms, HDR10, G-SYNC Compatible, HDMI 2.1)",LG,Gaming & Peripherals,Gaming & Peripherals|LG|Monitor|240Hz|QHD|NanoIPS,"LG UltraGear 27GR83Q 27-inch QHD (2560 x 1440) esports gaming monitor featuring Nano IPS panel, 240Hz refresh rate, 1ms (GtG) response time, NVIDIA G-SYNC & AMD FreeSync Premium Pro, and HDMI 2.1 VRR support.",38990,45000,13% OFF,4.7,1420,LG Electronics India,https://images.unsplash.com/photo-1547082299-de196ea013d6?w=800&auto=format&fit=crop&q=80,27-inch QHD (2560x1440) Nano IPS,NVIDIA G-SYNC Compatible Engine,N/A (Gaming Monitor),AC Powered,240Hz Refresh Rate|Nano IPS 1ms GtG|HDMI 2.1 VRR|Height & Tilt Stand,"[{""user"": ""Shubham Gill"", ""rating"": 5, ""comment"": ""240Hz at 1440p resolution is the sweet spot for competitive shooter games."", ""date"": ""2026-07-16""}]"
19,"Logitech G Pro X Superlight 2 Wireless Gaming Mouse (60g Ultra-Light, HERO 2 Sensor, 32K DPI, Black)",Logitech,Gaming & Peripherals,Gaming & Peripherals|Logitech|Mouse|Wireless|Esports,"Logitech G Pro X Superlight 2 Lightspeed wireless gaming mouse engineered with top esports pros. Features 60-gram ultra-lightweight design, HERO 2 sensor with 32,000 DPI, LIGHTFORCE hybrid switches, and 95-hour battery life.",13995,15995,13% OFF,4.9,3100,Logitech G Store,https://images.unsplash.com/photo-1615663245857-ac93bb7c39e7?w=800&auto=format&fit=crop&q=80,Onboard Memory Profiles,"Logitech HERO 2 Sensor (32,000 DPI)",N/A,95 Hours Constant Motion Battery Life,60g Ultra Lightweight|32K DPI HERO 2 Sensor|LIGHTFORCE Hybrid Switches|95h Battery,"[{""user"": ""Chetan FPS"", ""rating"": 5, ""comment"": ""Flicks in CS2 feel effortless thanks to the 60g weight and zero wireless latency."", ""date"": ""2026-07-23""}]"
20,"Razer BlackWidow V4 Pro Mechanical Gaming Keyboard (Green Clicky Switches, Chroma RGB, Command Dial)",Razer,Gaming & Peripherals,Gaming & Peripherals|Razer|Keyboard|Mechanical|RGB,"Razer BlackWidow V4 Pro full-size mechanical gaming keyboard featuring Razer Green tactile clicky switches, Razer Command Dial, 8 dedicated macro keys, 8000Hz polling rate, plush magnetic wrist rest, and per-key Chroma RGB.",22999,25999,12% OFF,4.7,1450,Razer Official Store,https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=800&auto=format&fit=crop&q=80,Hybrid On-Board & Cloud Storage,Razer HyperPolling 8000Hz Engine,N/A,USB-C Detachable Braided Cable,Razer Green Mechanical Switches|Command Dial|8 Macro Keys|Chroma RGB Underglow,"[{""user"": ""Deepanshu Bansal"", ""rating"": 5, ""comment"": ""Tactile clicky feedback is super satisfying. Command dial is great for volume."", ""date"": ""2026-07-04""}]"
